No,店の説明,主な口コミ,ワード1,ワード2,ワード3,ワード4,ワード5
1,最高級の軍鶏を使用し一本一本丁寧に焼き上げる正統派の名店。落ち着いた大人の空間で洗練されたサービスが受けられ記念日に最適です。,火入れが神がかっていると評判。特に皮はパリパリで身はジューシー。ソムリエが選ぶワインペアリングの的確さへの言及が多数。コースの構成が秀逸で、八寸や野菜焼きも芸術的。〆は親子丼とラーメンが選べるが、どちらも専門店レベルと絶賛されている。付かず離れずの心地よいサービスで記念日に最高の体験ができるとの声が多い。,神がかった火入れ,ワインペアリング,〆の親子丼/ラーメン,記念日に最適,正統派の名店
2,他では味わえない様々な希少部位を提供しているのが最大の特徴。焼き鳥の奥深さを探求できる活気と洗練さが同居するお店です。,名物『ちょうちん』の濃厚な旨味は必食。その他『そろばん』(首の肉)や『おたふく』(胸腺)など、他店では見かけない希少部位のオンパレードで選ぶのが楽しい。焼き加減はしっかりめ。活気がある雰囲気なので、静かに語らうより食事と会話を楽しみたい時に向いている。外国人客も多く国際的な雰囲気。,希少部位,名物『ちょうちん』,活気がある雰囲気,焼き鳥の探求,国際的
3,路地裏に佇む風格ある大人の隠れ家。厳選された地鶏を備長炭でじっくり焼き上げます。一枚板のカウンターが美しく静かに焼き鳥と向き合えます。,一枚板のカウンターが圧巻で、凛とした静謐な空気が流れている。大将の焼きに集中する姿が格好良く、ライブ感がある。焼きは力強くポーションも大きめで満足度が高い。特にレバーの火入れは絶品との口コミが多数。日本酒の品揃えも良く、じっくりと大人の時間を過ごしたいカップルに最適。,大人の隠れ家,一枚板カウンター,絶品レバー,日本酒の品揃え,力強い焼き
4,割烹料理のような美しい八寸から始まるコースが魅力。店主の丁寧な仕事が光る上質な焼き鳥と一品料理を落ち着いた空間で楽しめます。,コース冒頭の八寸の美しさと完成度にまず驚かされる。焼き鳥は小ぶりで上品だが、火入れが完璧で鶏のジューシーさが際立っている。特にだんご(つくね)とレバーの評価が高い。大将と女将さんの人柄が素晴らしく、非常に丁寧で心地よい接客が受けられるため、記念日での利用に安心感がある。,割烹風の八寸,上品な焼き鳥,つくね(だんご),丁寧な接客,安心感のある記念日
5,洗練されていながらも親しみやすい雰囲気の焼き鳥店。定番から創作までバランスの良い串構成でワインとの相性も考えられています。,店内は明るく清潔感があり、焼き鳥店特有の煙たさも無く、デートに使いやすいと評判。名物の『特上レバー』は臭みがなくクリーミーで必食。野菜串の種類の豊富さや、ゴルゴンゾーラの茶碗蒸しなど創作一品料理も楽しい。ソムリエがおり、手頃な価格からワインを提案してくれるのも嬉しいポイント。,特上レバー,創作一品料理,清潔感・煙なし,デート向き,手頃なワイン
6,モダンでスタイリッシュな空間で創作性あふれる焼き鳥が楽しめる人気店。ナチュラルワインの品揃えも魅力です。,スタイリッシュな内装と照明で、非常にお洒落な雰囲気。創作串が充実しており、特にトマトやブッラータチーズを使った串が美味しいと評判。〆の鶏そばは、濃厚な鶏白湯スープが絶品で、これ目当てに来る客も多い。ナチュラルワインとのペアリングも提案してくれる。,モダン・スタイリッシュ,創作串(トマト/チーズ),〆の鶏そば,ナチュラルワイン,お洒落な雰囲気
7,賑やかなエリアにありながら落ち着いた雰囲気を持つモダンな焼き鳥店。希少部位も楽しめコストパフォーマンスにも優れています。,モダンなカウンター席はデートに最適。価格は抑えめながら、ちょうちんや白子などの希少部位も楽しめるコストパフォーマンスの高さが魅力。焼きおにぎりやそぼろ丼などのご飯ものも美味しい。友人との少しリッチな食事からデートまで幅広く使えると評価されている。,コストパフォーマンス,希少部位(ちょうちん),モダンなカウンター,デート/友人利用,〆のご飯もの
8,超有名店の系列店として知られ予約困難ながらも挑戦する価値のある名店。正統派の焼き鳥を極めた味は多くの食通を唸らせます。,煙を纏わせる燻香が素晴らしく、一口食べるとその違いがわかる。火入れは言わずもがな完璧で、特に『かしわ』や『さびやき』といった定番串のレベルが非常に高い。活気のあるカウンターで、職人たちの無駄のない動きを見るのもエンターテイメント。予約は困難だが、焼き鳥好きなら一度は訪れたい店。,予約困難,燻香,定番串(かしわ),超有名店の系列,職人のライブ感
9,フレンチの技法を取り入れたビストロ風焼き鳥。鶏や鴨、フォアグラの串とワインのマリアージュを楽しめるお洒落なお店です。,焼き鳥というより『鶏肉を使ったフレンチ串』。フォアグラの串や、鶏とキノコのクリーム煮込みなど、独創的でワインが進むメニューばかり。店内の雰囲気もビストロそのもので、お洒落をして行きたい場所。〆のトリュフたまごかけご飯も人気。焼き鳥の概念を変えたい時に。,フレンチ風,フォアグラ串,ビストロの雰囲気,ワインとのマリアージュ,トリュフTKG
10,予約困難な名店の味を受け継ぐお店。洗練された和の空間で、丁寧な仕事が光る王道の江戸前スタイルの焼き鳥を味わえます。,凛としつつも温かみのある空間で、店主の丁寧な接客が心地よい。火入れが完璧なのはもちろん、串の合間に出される鬼おろしや大根漬けが絶妙な箸休めになる。コースの緩急が見事で、最後まで飽きずに楽しめる。特に『血肝(レバー)』はとろけるような食感と評判。,有名店継承,江戸前スタイル,血肝(レバー),絶妙な箸休め,凛としつつ温かい空間
11,上質で落ち着いた大人の隠れ家。こだわりの塩と備長炭で焼き上げる丁寧な仕事が光ります。個室もありプライベートな食事にも最適です。,高級感のあるエントランスから期待が高まる。店内は煙が全く気にならず、非常にクリーンで上質な空間。焼き鳥はどれも上品な塩加減で、鶏の旨みをストレートに感じられる。とろとろの卵黄が乗った『そぼろ親子丼』が〆の定番で絶品との声多数。個室があるので会食や特別な記念日に重宝する。,個室あり,上質な大人の隠れ家,上品な塩加減,〆のそぼろ親子丼,会食・記念日
12,モダンで高級感のある空間で、遊び心のある焼き鳥コースが楽しめるお店。記念日プレートなどのおもてなしも人気です。,スペシャリテの『とさか焼き』から始まり、プレゼンテーションに工夫が凝らされている。何と言っても『黒トリュフのTKG(たまごかけご飯)』が有名で、目の前でトリュフを削ってくれるパフォーマンスが記念日を盛り上げる。接客が非常に丁寧で、お祝い事での利用を伝えるとプレートを用意してくれるなどホスピタリティが高い。,記念日プレート,黒トリュフのTKG,エンタメ性,スペシャリテ(とさか),ホスピタリティ
13,予約の取れない超有名店の味をカジュアルに楽しめる立ち飲みスタイルの新業態。クオリティは本店譲りで、焼き鳥好きなら一度は訪れたい場所。,あの鳥しきの味が並べば入れる、というだけで価値がある。立ち飲みだが、一本一本のクオリティは驚くほど高く、特に『波(皮)』のパリパリ感は必食。価格も本店に比べれば手頃で、好きな串を好きなだけ頼めるのが嬉しい。サクッと最高の焼き鳥を食べたい時に最適だが、記念日ディナーには不向き。,立ち飲みスタイル,超有名店のカジュアル業態,波(皮),高クオリティ,サクッと利用
14,閑静な住宅街に佇む、知る人ぞ知る実力店。店主の穏やかな人柄と、一本一本丁寧に焼き上げる誠実な仕事ぶりが魅力です。,派手さはないが、全ての串が丁寧に作られており、じんわりと美味しい。火入れが優しく、鶏肉の柔らかさと旨味を堪能できる。特に『つくね』は軟骨の食感が良く絶品との声が多い。常連客に愛されるアットホームな雰囲気で、落ち着いて美味しい焼き鳥を食べたい日に最適。,住宅街の隠れ家,絶品つくね,アットホームな雰囲気,優しい火入れ,常連に愛される店
15,希少な高坂鶏を使い、フレンチの技法も取り入れた独創的な焼き鳥が楽しめる。ワインとのペアリングコースが基本のスタイル。,高坂鶏の脂の甘さと旨味に驚かされる。レバーのパテを挟んだ最中や、コンソメスープなど、フレンチのアプローチが光る一品料理が素晴らしい。一本一本に仕事がしてあり、次に何が出てくるかワクワクする。ワイン好き、新しい味の探求が好きなカップルにおすすめ。,高坂鶏,フレンチの技法,ワインペアリングコース,レバーパテ最中,新しい味の探求
16,風情あるエリアに佇む、正統派の実力店。シャモやホロホロ鳥など、様々な鶏を使い分けたコースが楽しめます。,焼き鳥のフルコースといった趣で、様々な鶏肉の味の違いを楽しめる。一品料理も手が込んでおり、特に鶏出汁のスープの評価が高い。店内はカウンターのみで清潔感があり、大将の丁寧な仕事ぶりを眺めながら食事ができる。派手さはないが、本質的な美味しさを求める食通向けの店。,鶏の使い分け,鶏出汁スープ,正統派の実力店,カウンターのみ,食通向け
17,客自身が目の前のコンロで地鶏を焼く『鳥焼肉』スタイル。最高級の地鶏の様々な部位を、最高の状態で味わえるのが魅力です。,お店の方が部位ごとに最適な焼き方を教えてくれるので、常にベストな状態で食べられる。新鮮な鶏肉は刺身でも食べられるクオリティ。焼き鳥とは違うが、鶏肉のポテンシャルを最大限に楽しめる新しい体験。〆の釜炊きご飯も絶品。ワイワイ楽しく食事したい記念日におすすめ。,鳥焼肉スタイル,客が自分で焼く,鶏刺し,釜炊きご飯,ワイワイ楽しむ
18,有名料亭が手掛ける焼き鳥店。上質な空間とサービスは料亭そのもので、落ち着いた雰囲気の中で絶品の焼き鳥コースをいただけます。,さすが料亭と思わせる、行き届いたサービスと高級感のある設え。焼き鳥はどれも上品で火入れも完璧。コースの合間に出される一品料理のクオリティが非常に高い。特に〆の鶏だしラーメンは専門店以上の味と評判。大切な相手との記念日や、会食で絶対に外したくない時に最適。,有名料亭が手掛ける,上質なサービス・空間,〆の鶏だしラーメン,会食・接待に最適,クオリティの高い一品料理
19,スタイリッシュな和モダン空間で、こだわりの伊達鶏を使った焼き鳥が楽しめるお店。店主のワンオペながら、細やかな気配りが評判です。,店内はデザイン性が高くお洒落で、デート向き。大将が一人で切り盛りしているが、その手際の良さと丁寧な接客が素晴らしいとの口コミ多数。串はどれも丁寧に作られており、特に肉汁溢れるつくねが人気。〆のそぼろご飯も必食。二人の距離が縮まるような、居心地の良いカウンターが魅力。,店主ワンオペ,伊達鶏,肉汁溢れるつくね,お洒落な和モダン空間,居心地の良いカウンター
20,焼き鳥好きが集まる、実力派の人気店。一本のボリュームが大きく、力強い焼きが特徴。コストパフォーマンスの高さも魅力です。,どの串もポーションが大きく、食べ応えがある。焼き加減が絶妙で、肉の旨味が口の中に広がる。ちょうちん、白レバーなど希少部位も揃っている。〆のドライカレーも名物。活気があって少し賑やかなので、気心の知れた相手との食事で、お腹いっぱい美味しい焼き鳥を食べたい時におすすめ。,ボリューム大,力強い焼き,コストパフォーマンス,ちょうちん/白レバー,〆のドライカレー
21,洗練された大人の隠れ家。シックで落ち着いた空間で、繊細で美しい焼き鳥のコースを味わえます。ワインの品揃えも豊富です。,店内は照明が落とされ、非常にムーディーでデートに最適。一本一本が丁寧に仕事されており、見た目も美しい。特にささみのレア加減や、野菜串の美味しさに定評がある。サービスもスマートで、ゆっくりと大人の時間を過ごせる。記念日を静かに祝いたいカップルにぴったり。,ムーディーな空間,繊細で美しい焼き鳥,レアなささみ,スマートなサービス,静かなデート
22,シンプルモダンな和空間で、備長炭で丁寧に焼き上げる本格焼き鳥を堪能できる。ソムリエ厳選のワインとのマリアージュが楽しめます。,寺社仏閣をイメージしたという荘厳で落ち着いた雰囲気が素晴らしい。名物の『丸ハツ』は他では食べられない絶品との声が多数。焼き鳥以外の逸品料理も小技が効いていて美味しい。ソムリエが料理に合わせてワインを提案してくれるので、ワイン好きにはたまらない。,寺社仏閣風の空間,名物『丸ハツ』,ソムリエ厳選ワイン,落ち着いた雰囲気,小技の効いた逸品
23,日本三大地鶏である比内地鶏の雌のみを使用する専門店。鶏肉の旨みを最大限に引き出す『鶏まぶし』が名物です。,ひつまぶしの鶏肉版である『鶏まぶし』が〆の定番。薬味や出汁で味を変えながら楽しめる。焼き鳥は比内地鶏の濃厚な旨味と弾力が感じられる王道のスタイル。店内は高級感があり、接待や記念日など、大切なシーンでの利用に向いている。,比内地鶏専門店,名物『鶏まぶし』,高級感,接待・記念日向き,濃厚な旨味
24,独創的な高級串と、〆の親子丼が有名な予約困難店。焼き鳥の新たな可能性を感じさせるプレゼンテーションが魅力です。,うにやキャビア、トリュフなど高級食材を使った創作串がスペシャリテ。味はもちろん、見た目も華やかで記念日が盛り上がる。〆の親子丼は、濃厚な卵と大きな鶏肉がごろっと入っており、これを目当てに訪れる人も多い。予約は非常に困難だが、特別な体験ができるお店。,予約困難店,高級食材の創作串,〆の親子丼,華やかなプレゼン,特別な体験
25,紹介制の有名店が手掛ける、予約可能な焼き鳥店。エンターテイメント性のある空間と、確かな味で人気を博しています。,店内はライブ感があり、デートを盛り上げてくれる。串はおまかせコースが基本で、テンポよく提供される。名物の『ちょうちん』はテーブルで弾けさせて食べるなど、楽しい仕掛けがある。焼き鳥だけでなく、トリュフを使ったすき焼きなど豪華な一品も含まれる。,紹介制系列,エンタメ性,名物『ちょうちん』,トリュフすき焼き,ライブ感
26,串に刺さない『焼き鳥(とりやき)』が楽しめる人気店。様々な部位を塊で焼き上げるため、肉汁が閉じ込められジューシーな味わいです。,串焼きとは違い、塊肉を焼いてから切り分けるスタイルが新しい。もも肉の皮目のパリパリ感と、むね肉のしっとり感の対比が素晴らしい。鶏刺しも新鮮で美味しいと評判。コストパフォーマンスが非常に高く、気取らない雰囲気で美味しい鶏肉をお腹いっぱい食べたい時に最適。,串に刺さない焼き鳥,塊肉焼き,鶏刺し,高コストパフォーマンス,気取らない雰囲気
27,美しい器で供される、割烹スタイルの焼き鳥コースが楽しめる。細部までこだわり抜いた空間と料理は、特別な日に最適です。,一品目の八寸から、その美しさに心を掴まれる。焼き鳥はどれも火入れが完璧で、とても上品。器も一つ一つが美しく、目でも楽しめる。日本酒のペアリングも素晴らしく、料理との相性を考え抜かれている。静かで洗練された空間で、最高の記念日になること間違いなし。,割烹スタイル,美しい八寸と器,日本酒ペアリング,静かで洗練された空間,最高の記念日
28,焼き鳥の聖地と称されることもある、ストイックなまでに味を追求した名店。予約困難を極めますが、その味は唯一無二です。,焼き鳥を愛する者が辿り着く場所。余計なものは一切なく、ただひたすらに旨い串と向き合う空間。一本一本の完成度が異次元で、特に『かしわ』のジューシーさは感動もの。おしゃべりを楽しむ雰囲気ではないが、最高の焼き鳥体験を共有したい二人におすすめ。,予約困難の極み,焼き鳥の聖地,唯一無二の味,ストイックな空間,『かしわ』が感動もの
29,活気と洗練が両立した、モダンな焼き鳥ダイニング。デートや友人との食事など、様々なシーンで使いやすい人気店です。,お洒落な雰囲気で、女性客も多い。定番串に加え、『カマンベールつくね』など創作串も美味しい。ワインの品揃えも豊富で、気軽に楽しめる。〆のラーメンも人気。賑やかながらも居心地が良く、楽しい誕生日ディナーを過ごせる。,モダンなダイニング,カマンベールつくね,〆のラーメン,幅広いシーンで利用可,女性客が多い
30,100年以上の歴史を持つ、焼き鳥の老舗中の老舗。伝統のフルコースは、一度は味わう価値のある文化遺産とも言えます。,歴史の重みを感じる、威厳のある空間。席に着くと自動的に始まるフルコースは圧巻。大ぶりな串はどれも伝統の技が光る逸品。特に『だんご』は必食。派手さはないが、本物の味とサービスを堪能できる。古き良き日本の贅沢を味わいたい記念日に。,100年続く老舗,伝統のフルコース,名物『だんご』,歴史と威厳,文化遺産級
31,正統派の江戸前焼き鳥を、静かで上質な空間で味わえる実力店。店主の丁寧な仕事ぶりが、凛としたカウンターに映えます。,まさに大人のための焼き鳥店。寸分の狂いもないような完璧な焼き加減で、鶏の旨味が最大限に引き出されている。特に『白玉(うずらの卵)』の半熟加減は芸術的。静かに会話と食事を楽しみたい、本物志向のカップルに強くおすすめできる名店。,正統派江戸前,白玉(うずら)が芸術的,凛とした空間,本物志向のカップル,静かな大人の店